note_indicator, note_indicator.label, note_indicator.sort
"T30:58","Currency: ZWE - Zimbabwean dollar (ZWL)",397
"T30:59","Currency: AIA - East Caribbean dollar (XCD)",398
"T30:61","Currency: ARG - Argentine peso (ARS)",399
"T30:62","Currency: ABW - Florin (AWG)",400
"T30:63","Currency: BHS - Bahamian dollar (BSD)",401
"T30:64","Currency: BRB - Barbadian dollar (BBD)",402
"T30:65","Currency: BLZ - Belize dollar (BZD)",403
"T30:66","Currency: BMU - Bermudian dollar (BMD)",404
"T30:67","Currency: BOL - Bolivian (BOB)",405
"T30:68","Currency: BRA - Real (BRL)",406
"T30:69","Currency: CAN - Canadian Dollar (CAD)",407
"T30:71","Currency: COL - Colombian peso (COP)",408
"T30:72","Currency: CRI - Colon (CRC)",409
"T30:73","Currency: CUB - Cuban peso (CUP)",410
"T30:74","Currency: CHL - Chilean peso (CLP)",411
"T30:76","Currency: DOM - Dominican peso (DOP)",412
"T30:77","Currency: ECU - United States dollar (USD)",413
"T30:78","Currency: SLV - United States dollar (USD)",414
"T30:79","Currency: FLK - Falkland Islands pound (FKP)",415
"T30:82","Currency: GLP - Euro (EUR)",416
"T30:83","Currency: GTM - Quetzal (GTQ)",417
"T30:84","Currency: GUY - Guyanese dollar (GYD)",418
"T30:85","Currency: GUF - Euro (EUR)",419
"T30:86","Currency: HTI - Gourde (HTG)",420
"T30:87","Currency: HND - Lempira (HNL)",421
"T30:88","Currency: JAM - Jamaican dollar (JMD)",422
"T30:89","Currency: MTQ - Euro (EUR)",423
"T30:90","Currency: MEX - New Peso (MXN)",424
"T30:93","Currency: NIC - Cordoba (NIO)",425
"T30:94","Currency: PAN - Balboa (PAB)",426
"T30:95","Currency: PRY - Guarani (PYG)",427
"T30:96","Currency: PER - Nuevo sol (PEN)",428
"T30:97","Currency: PRI - United States dollar (USD)",429
"T30:99","Currency: LCA - East Caribbean dollar (XCD)",430
"T30:102","Currency: SUR - Surinamese dollar (SRD)",431
"T30:103","Currency: TTO - Trinidad and Tobago dollar (TTD)",432
"T30:105","Currency: USA - United States dollar (USD)",433
"T30:106","Currency: URY - Uruguayan peso (UYU)",434
"T30:107","Currency: VEN - Bolívar fuerte (VEF)",435
"T30:108","Currency: VGB - United States dollar (USD)",436
"T30:109","Currency: VIR - United States dollar (USD)",437
"T30:110","Currency: AFG - Afghani (AFN)",438
"T30:111","Currency: ARM - Dram (AMD)",439
"T30:112","Currency: AZE - Azerbaijani manat (AZN)",440
"T30:113","Currency: BHR - Bahraini dinar (BHD)",441
"T30:114","Currency: BGD - Taka (BDT)",442
"T30:115","Currency: BTN - Ngultrum (BTN)",443
"T30:116","Currency: BRN - Brunei dollar (BND)",444
"T30:117","Currency: KHM - Riel (KHR)",445
"T30:118","Currency: CHN - Yuan (CNY)",446
"T30:119","Currency: GEO - Lari (GEL)",447
"T30:120","Currency: HKG - Hong Kong dollar (HKD)",448
"T30:121","Currency: IND - Indian rupee (INR)",449
"T30:122","Currency: IDN - Indonesian rupiah (IDR)",450
"T30:123","Currency: IRN - Iranian rial (IRR)",451
"T30:125","Currency: ISR - New Shekel (ILS)",452
"T30:126","Currency: JPN - Yen (JPY)",453
"T30:127","Currency: JOR - Jordanian dinar (JOD)",454
"T30:128","Currency: KAZ - Tenge (KZT)",455
"T30:130","Currency: KOR - South Korean won (KRW)",456
"T30:131","Currency: KWT - Kuwaiti dinar (KWD)",457
"T30:132","Currency: KGZ - Kyrgyzstani som (KGS)",458
"T30:133","Currency: LAO - Kip (LAK)",459
"T30:134","Currency: LBN - Lebanese pound (LBP)",460
"T30:135","Currency: MAC - Pataca (MOP)",461
"T30:136","Currency: MYS - Ringgit (MYR)",462
"T30:137","Currency: MDV - Rufiyaa (MVR)",463
"T30:138","Currency: MNG - Tögrög (MNT)",464
"T30:139","Currency: MMR - Kyat (MMK)",465
"T30:140","Currency: NPL - Nepalese rupee (NPL)",466
"T30:141","Currency: OMN - Omani rial (OMR)",467
"T30:142","Currency: PAK - Pakistani rupee (PKR)",468
"T30:143","Currency: PHL - Philippine peso (PHP)",469
"T30:144","Currency: QAT - Qatari riyal (QAR)",470
"T30:145","Currency: SAU - Saudi riyal (SAR)",471
"T30:146","Currency: SGP - Singapore dollar (SGD)",472
"T30:147","Currency: LKA - Sri Lankan rupee (LKR)",473
"T30:148","Currency: SYR - Syrian pound (SYP)",474
"T30:149","Currency: TWN - New Taiwan dollar (TWD)",475
"T30:150","Currency: TJK - Somoni (TJS)",476
"T30:151","Currency: THA - Baht (THB)",477
"T30:152","Currency: TLS - United States dollar (USD)",478
"T30:154","Currency: ARE - United Arab Emirates dirham (AED)",479
"T30:155","Currency: UZB - Uzbekistani som (UZS)",480
"T30:156","Currency: VNM - Dông (VND)",481
"T30:157","Currency: PSE - New Shekel (ILS)",482
"T30:158","Currency: YEM - Yemeni rial (YER)",483
"T30:159","Currency: ALB - Lek (ALL)",484
"T30:160","Currency: AND - Euro (EUR)",485
"T30:161","Currency: AUT - Euro (EUR)",486
"T30:162","Currency: BLR - Belarusian ruble (BYR)",487
"T30:163","Currency: BEL - Euro (EUR)",488
"T30:164","Currency: BIH - Marka (BAM)",489
"T30:165","Currency: BGR - Lev (BGN)",490
"T30:167","Currency: HRV - Kuna (HRK)",491
"T30:168","Currency: CYP - Euro (EUR)",492
"T30:169","Currency: CZE - Koruna (CZK)",493
"T30:170","Currency: DNK - Danish krone (DKK)",494
"T30:171","Currency: ESP - Euro (EUR)",495
"T30:172","Currency: EST - Euro (EUR)",496
"T30:174","Currency: FIN - Euro (EUR)",497
"T30:175","Currency: FRA - Euro (EUR)",498
"T30:176","Currency: DEU - Euro (EUR)",499
"T30:177","Currency: GIB - Gibraltar pound (GIP)",500
"T30:178","Currency: GRC - Euro (EUR)",501
"T30:179","Currency: GGY - Guernsey pound (GGP)",502
"T30:180","Currency: HUN - Forint (HUF)",503
"T30:181","Currency: ISL - Icelandic króna (ISK)",504
"T30:182","Currency: IRL - Euro (EUR)",505
"T30:183","Currency: IMN - Manx pound (IMP)",506
"T30:184","Currency: ITA - Euro (EUR)",507
"T30:185","Currency: JEY - Jersey pound (JEP)",508
"T30:186","Currency: KOS - Euro (EUR)",509
"T30:187","Currency: LVA - Lats (LVL)",510
"T30:188","Currency: LIE - Swiss franc (CHF)",511
"T30:189","Currency: LTU - Litas (LTL)",512
"T30:190","Currency: LUX - Euro (EUR)",513
"T30:191","Currency: MKD - Denar (MKD)",514
"T30:192","Currency: MLT - Euro (EUR)",515
"T30:193","Currency: MDA - Moldovan leu (MDL)",516
"T30:195","Currency: MNE - Euro (EUR)",517
"T30:196","Currency: NLD - Euro (EUR)",518
"T30:197","Currency: NOR - Norwegian krone (NOK)",519
"T30:198","Currency: POL - Zloty (PLN)",520
"T30:199","Currency: PRT - Euro (EUR)",521
"T30:200","Currency: ROU - Romanian leu (RON)",522
"T30:201","Currency: RUS - Russian ruble (RUB)",523
"T30:202","Currency: SMR - Euro (EUR)",524
"T30:203","Currency: SRB - Serbian dinar (RSD)",525
"T30:204","Currency: SVK - Euro (EUR)",526
"T30:205","Currency: SVN - Euro (EUR)",527
"T30:206","Currency: CHE - Swiss franc (CHF)",528
"T30:207","Currency: SWE - Swedish krona (SEK)",529
"T30:208","Currency: TUR - Turkish lira (TRY)",530
"T30:209","Currency: UKR - Hryvnia (UAH)",531
"T30:210","Currency: GBR - British pound (GBP)",532
"T30:212","Currency: AUS - Australian dollar (AUD)",533
"T30:213","Currency: COK - New Zealand dollar (NZD)",534
"T30:214","Currency: FJI - Fijian dollar (FJD)",535
"T30:215","Currency: GUM - United States dollar (USD)",536
"T30:218","Currency: MHL - United States dollar (USD)",537
"T30:220","Currency: NZL - New Zealand dollar (NZD)",538
"T30:224","Currency: NCL - CFP franc (XPF)",539
"T30:225","Currency: PLW - United States dollar (USD)",540
"T30:226","Currency: PNG - Kina (PGK)",541
"T30:227","Currency: PYF - CFP franc (XPF)",542
"T30:228","Currency: WSM - Tala (WST)",543
"T30:229","Currency: SLB - Solomon Islands dollar (SBD)",544
"T30:231","Currency: TON - Pa'anga (TOP)",545
"T30:233","Currency: VUT - Vatu (VUV)",546
"T30:251","Currency: ALB - Old lek (ALK)",547
"T30:255","Currency: ANT - Netherlands Antillean guilder (ANG)",548
"T30:256","Currency: ARG - Austral (ARA)",549
"T30:258","Currency: AUT - Schilling (ATS)",550
"T30:260","Currency: AZE - Azerbaijani manat (AZM)",551
"T30:261","Currency: AZE - Russian ruble (RUR)",552
"T30:263","Currency: BEL - Belgian franc (BEF)",553
"T30:264","Currency: BEL - Financial franc (BEL)",554
"T30:265","Currency: BGR - Lev (BGL)",555
"T30:267","Currency: BLR - Belarusian ruble (BYB)",556
"T30:268","Currency: BLR - Russian ruble (RUR)",557
"T30:270","Currency: BRA - Cruzeiro (BRB)",558
"T30:271","Currency: BRA - Cruzado (BRC)",559
"T30:272","Currency: BRA - Cruzeiro (BRE)",560
"T30:273","Currency: BRA - New cruzado (BRN)",561
"T30:274","Currency: BRA - Cruzeiro real (BRR)",562
"T30:279","Currency: CYP - Cypriot pound (CYP)",563
"T30:280","Currency: DEU - Deutsche Mark (DEM)",564
"T30:281","Currency: ECU - Sucre (ECS)",565
"T30:282","Currency: ECU - Unidad de Valor Constante (UVC) (ECV)",566
"T30:284","Currency: ESP - Spanish peseta (ESP)",567
"T30:285","Currency: EST - Estonian kroon (EEK)",568
"T30:286","Currency: FIN - Finnish markka (FIM)",569
"T30:287","Currency: FRA - French franc (FRF)",570
"T30:291","Currency: GHA - Cedi (GHP)",571
"T30:294","Currency: GLP - French franc (FRF)",572
"T30:299","Currency: GUF - French franc (FRF)",573
"T30:300","Currency: HRV - Croatian dinar (HRD)",574
"T30:301","Currency: IRL - Irish pound (IEP)",575
"T30:302","Currency: ITA - Italian lira (ITL)",576
"T30:304","Currency: KAZ - Russian ruble (RUR)",577
"T30:308","Currency: LTU - Talonas (LTT)",578
"T30:310","Currency: LUX - Luxembourgish franc (LUF)",579
"T30:314","Currency: MDA - Russian ruble (RUR)",580
"T30:317","Currency: MEX - Mexican peso (MXP)",581
"T30:320","Currency: MLT - Maltese lira (MTL)",582
"T30:321","Currency: MLT - Maltese pound (MTP)",583
"T30:324","Currency: MTQ - French franc (FRF)",584
"T30:325","Currency: NIC - Cordoba (NIC)",585
"T30:326","Currency: NLD - Dutch guilder (NLG)",586
"T30:327","Currency: PER - Inti (PEI)",587
"T30:329","Currency: POL - Zloty (PLZ)",588
"T30:330","Currency: PRT - Portuguese escudo (PTE)",589
"T30:332","Currency: ROU - Old leu (ROL)",590
"T30:333","Currency: RUS - Russian ruble (RUR)",591
"T30:336","Currency: SDN - Sudanese dinar (SDD)",592
"T30:337","Currency: SDN - Sudanese pound (SDP)",593
"T30:338","Currency: SMR - Italian lira (ITL)",594
"T30:340","Currency: SUR - Surinam guilder (SRG)",595
"T30:341","Currency: SVK - Slovak koruna (SKK)",596
"T30:342","Currency: SVN - Tolar (SIT)",597
"T30:344","Currency: TJK - Russian ruble (RUR)",598
"T30:345","Currency: TJK - Tajikistani ruble (TJR)",599
"T30:347","Currency: TKM - Turkmenistan manat (TMM)",600
"T30:350","Currency: TUR - Old Turkish lira (TRL)",601
"T30:353","Currency: UKR - Karbovanets (UAK)",602
"T30:355","Currency: URY - New Uruguayan Peso (UYN)",603
"T30:357","Currency: UZB - Russian ruble (RUR)",604
"T30:358","Currency: VEN - Bolivar (VEB)",605
"T30:363","Currency: ZAF - Financial rand (ZAL)",606
"T30:364","Currency: ZWE - Rhodesian dollar (ZWC)",607
"T30:367","Currency: ZWE - Zimbabwean dollar (new) (ZWN)",608
"T30:370","Currency: LTU - Rouble (C10)",609
"T30:371","Currency: UKR - Rouble (C10)",610
"T30:374","Currency: LVA - Euro (EUR)",611
"T30:375","Currency: KHM - United States dollar (USD)",612
"T30:376","Currency: CUW - Netherlands Antillean Guilder (ANG)",613
"T30:377","Currency: LTU - Euro (EUR)",614
"T30:379","Currency: ZMB - Zambian kwacha (ZMW)",615
"T30:380","Currency: BLR - Belarusian ruble (BYN)",616
